Zip Code	City	COUNTY
32601	Gainesville	ALACHUA
32602	Gainesville	ALACHUA
32603	Gainesville	ALACHUA
32604	Gainesville	ALACHUA
32605	Gainesville	ALACHUA
32606	Gainesville	ALACHUA
32607	Gainesville	ALACHUA
32608	Gainesville	ALACHUA
32609	Gainesville	ALACHUA
32610	Gainesville	ALACHUA
32611	Gainesville	ALACHUA
32612	Gainesville	ALACHUA
32613	Gainesville	ALACHUA
32614	Gainesville	ALACHUA
32615	Alachua	ALACHUA
32616	Alachua	ALACHUA
32618	Archer	ALACHUA
32627	Gainesville	ALACHUA
32631	Earleton	ALACHUA
32633	Evinston	ALACHUA
32635	Gainesville	ALACHUA
32640	Hawthorne	ALACHUA
32641	Gainesville	ALACHUA
32643	High Springs	ALACHUA
32653	Gainesville	ALACHUA
32654	Island Grove	ALACHUA
32655	High Springs	ALACHUA
32658	La Crosse	ALACHUA
32662	Lochloosa	ALACHUA
32667	Micanopy	ALACHUA
32669	Newberry	ALACHUA
32694	Waldo	ALACHUA
32040	Glen Saint Mary	BAKER
32063	Macclenny	BAKER
32072	Olustee	BAKER
32087	Sanderson	BAKER
32401	Panama City	BAY
32402	Panama City	BAY
32403	Panama City	BAY
32404	Panama City	BAY
32405	Panama City	BAY
32406	Panama City	BAY
32407	Panama City Beach	BAY
32408	Panama City	BAY
32409	Panama City	BAY
32410	Mexico Beach	BAY
32411	Panama City	BAY
32412	Panama City	BAY
32413	Panama City Beach	BAY
32417	Panama City	BAY
32438	Fountain	BAY
32444	Lynn Haven	BAY
32466	Youngstown	BAY
32042	Graham	BRADFORD
32044	Hampton	BRADFORD
32058	Lawtey	BRADFORD
32091	Starke	BRADFORD
32622	Brooker	BRADFORD
32754	Mims	BREVARD
32775	Scottsmoor	BREVARD
32780	Titusville	BREVARD
32781	Titusville	BREVARD
32782	Titusville	BREVARD
32783	Titusville	BREVARD
32796	Titusville	BREVARD
32815	Orlando	BREVARD
32899	Orlando	BREVARD
