State,ZipCode,Tax Name,StateRate,EstimatedCombinedRate,EstimatedCountyRate,EstimatedCityRate,EstimatedSpecialRate,RiskLevel
FL,32615,ALACHUA,0.06,0.06,0,0,0,1
FL,32616,ALACHUA,0.06,0.06,0,0,0,1
FL,32420,JACKSON,0.06,0.075,0.015,0,0,1
FL,32701,SEMINOLE,0.06,0.07,0.01,0,0,1
FL,32714,SEMINOLE,0.06,0.07,0.01,0,0,1
FL,32715,SEMINOLE,0.06,0.07,0.01,0,0,1
FL,32716,SEMINOLE,0.06,0.07,0.01,0,0,1
FL,32421,CALHOUN,0.06,0.075,0.015,0,0,1
FL,32702,LAKE,0.06,0.07,0.01,0,0,1
FL,33820,POLK,0.06,0.07,0.01,0,0,1
FL,33920,LEE,0.06,0.06,0,0,0,1
FL,34216,MANATEE,0.06,0.065,0.005,0,0,1
FL,32617,MARION,0.06,0.06,0,0,0,1
FL,32320,FRANKLIN,0.06,0.07,0.01,0,0,1
FL,32329,FRANKLIN,0.06,0.07,0.01,0,0,1
FL,33572,HILLSBOROUGH,0.06,0.07,0.01,0,0,1
FL,32703,ORANGE,0.06,0.065,0.005,0,0,1
FL,32704,ORANGE,0.06,0.065,0.005,0,0,1
FL,32712,ORANGE,0.06,0.065,0.005,0,0,1
FL,34265,DESOTO,0.06,0.075,0.015,0,0,1
FL,34266,DESOTO,0.06,0.075,0.015,0,0,1
FL,34269,DESOTO,0.06,0.075,0.015,0,0,1
FL,32618,ALACHUA,0.06,0.06,0,0,0,1
FL,32422,WALTON,0.06,0.07,0.01,0,0,1
FL,34679,PASCO,0.06,0.07,0.01,0,0,1
FL,34705,LAKE,0.06,0.07,0.01,0,0,1
FL,32102,LAKE,0.06,0.07,0.01,0,0,1
FL,32233,DUVAL,0.06,0.07,0.01,0,0,1
FL,33823,POLK,0.06,0.07,0.01,0,0,1
FL,33825,HIGHLANDS,0.06,0.07,0.01,0,0,1
FL,33826,HIGHLANDS,0.06,0.07,0.01,0,0,1
FL,33827,POLK,0.06,0.07,0.01,0,0,1
FL,32530,SANTA ROSA,0.06,0.065,0.005,0,0,1
FL,32531,OKALOOSA,0.06,0.06,0,0,0,1
FL,33503,HILLSBOROUGH,0.06,0.07,0.01,0,0,1
FL,32105,VOLUSIA,0.06,0.065,0.005,0,0,1
FL,33830,POLK,0.06,0.07,0.01,0,0,1
FL,33831,POLK,0.06,0.07,0.01,0,0,1
FL,32423,JACKSON,0.06,0.075,0.015,0,0,1
FL,33744,PINELLAS,0.06,0.07,0.01,0,0,1
FL,32619,GILCHRIST,0.06,0.07,0.01,0,0,1
FL,33430,PALM BEACH,0.06,0.06,0,0,0,1
FL,33786,PINELLAS,0.06,0.07,0.01,0,0,1
FL,34420,MARION,0.06,0.06,0,0,0,1
FL,34421,MARION,0.06,0.06,0,0,0,1
FL,34464,CITRUS,0.06,0.06,0,0,0,1
FL,34465,CITRUS,0.06,0.06,0,0,0,1
FL,33043,MONROE,0.06,0.075,0.015,0,0,1
FL,32424,CALHOUN,0.06,0.075,0.015,0,0,1
FL,33921,LEE,0.06,0.06,0,0,0,1
FL,33427,PALM BEACH,0.06,0.06,0,0,0,1
FL,33428,PALM BEACH,0.06,0.06,0,0,0,1
FL,33429,PALM BEACH,0.06,0.06,0,0,0,1
FL,33431,PALM BEACH,0.06,0.06,0,0,0,1
FL,33432,PALM BEACH,0.06,0.06,0,0,0,1
FL,33433,PALM BEACH,0.06,0.06,0,0,0,1
FL,33434,PALM BEACH,0.06,0.06,0,0,0,1
FL,33464,PALM BEACH,0.06,0.06,0,0,0,1
FL,33481,PALM BEACH,0.06,0.06,0,0,0,1
FL,33486,PALM BEACH,0.06,0.06,0,0,0,1
FL,33487,PALM BEACH,0.06,0.06,0,0,0,1
FL,33488,PALM BEACH,0.06,0.06,0,0,0,1
FL,33496,PALM BEACH,0.06,0.06,0,0,0,1
FL,33497,PALM BEACH,0.06,0.06,0,0,0,1
FL,33498,PALM BEACH,0.06,0.06,0,0,0,1
FL,33499,PALM BEACH,0.06,0.06,0,0,0,1
FL,33922,LEE,0.06,0.06,0,0,0,1
FL,32425,HOLMES,0.06,0.07,0.01,0,0,1
FL,34133,LEE,0.06,0.06,0,0,0,1
FL,34134,LEE,0.06,0.06,0,0,0,1
FL,34135,LEE,0.06,0.06,0,0,0,1
FL,34136,LEE,0.06,0.06,0,0,0,1
FL,32007,PUTNAM,0.06,0.07,0.01,0,0,1
FL,33834,HARDEE,0.06,0.07,0.01,0,0,1
FL,33424,PALM BEACH,0.06,0.06,0,0,0,1
FL,33425,PALM BEACH,0.06,0.06,0,0,0,1
FL,33426,PALM BEACH,0.06,0.06,0,0,0,1
FL,33435,PALM BEACH,0.06,0.06,0,0,0,1
FL,33436,PALM BEACH,0.06,0.06,0,0,0,1
FL,33437,PALM BEACH,0.06,0.06,0,0,0,1
FL,33474,PALM BEACH,0.06,0.06,0,0,0,1
FL,34201,MANATEE,0.06,0.065,0.005,0,0,1
FL,34202,MANATEE,0.06,0.065,0.005,0,0,1
FL,34203,MANATEE,0.06,0.065,0.005,0,0,1
FL,34204,MANATEE,0.06,0.065,0.005,0,0,1
FL,34205,MANATEE,0.06,0.065,0.005,0,0,1
FL,34206,MANATEE,0.06,0.065,0.005,0,0,1
FL,34207,MANATEE,0.06,0.065,0.005,0,0,1
FL,34208,MANATEE,0.06,0.065,0.005,0,0,1
