State,ZipCode,TaxRegionName,StateRate,EstimatedCombinedRate,EstimatedCountyRate,EstimatedCityRate,EstimatedSpecialRate,RiskLevel
FL,32601,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,32602,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,32603,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,32604,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,32605,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,32606,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,32607,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,32608,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,32609,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,32610,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,32611,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,32612,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,32613,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,32614,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,32615,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,32616,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,32618,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,32627,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,32631,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,32633,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,32635,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,32640,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,32641,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,32643,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,32653,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,32654,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,32655,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,32658,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,32662,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,32667,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,32669,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,32694,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,32040,Florida State and County,0.06,0.07000,0.01000,0,0,2
FL,32063,Florida State and County,0.06,0.07000,0.01000,0,0,2
